Name,Team,Year,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Purvis Short,GSW,1980,7.4,14.8,.503,0.0,0.1,.000,7.4,14.7,.507,2.2,2.7,.812,1.9,3.2,2.0,1.0,0.1,2.0,3.0,17.0
John Shumate,TOT,1980,3.2,6.0,.528,0.0,0.0,.000,3.2,6.0,.529,2.5,3.3,.764,1.7,3.9,1.3,0.6,0.7,1.4,1.9,8.9
Jack Sikma*,SEA,1980,5.7,12.1,.475,0.0,0.0,.000,5.7,12.0,.476,2.9,3.6,.805,2.4,8.7,3.4,0.8,0.9,2.5,2.8,14.3
James Silas,SAS,1980,6.7,13.0,.514,0.0,0.1,.000,6.7,12.9,.516,4.4,5.0,.887,0.6,1.6,4.5,0.8,0.2,2.5,2.7,17.7
Paul Silas,SEA,1980,1.4,3.6,.378,0.0,0.0,,1.4,3.6,.378,1.1,1.7,.654,2.5,2.8,0.8,0.3,0.1,1.0,1.5,3.8
Ralph Simpson,NJN,1980,2.3,5.9,.383,0.0,0.3,.000,2.3,5.6,.400,0.6,1.3,.500,0.8,0.6,1.8,1.1,0.0,1.5,0.4,5.1
Al Skinner,PHI,1980,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0
Bingo Smith,TOT,1980,4.9,11.4,.432,0.3,1.0,.284,4.6,10.4,.447,1.3,1.5,.870,1.2,2.1,1.3,0.8,0.2,1.0,2.7,11.4
Phil Smith,GSW,1980,6.4,13.4,.474,0.1,0.4,.318,6.2,13.0,.480,2.6,3.4,.789,0.5,2.3,3.7,1.2,0.3,2.4,3.0,15.5
Randy Smith,CLE,1980,7.3,16.2,.452,0.1,0.6,.189,7.2,15.5,.463,2.8,3.5,.823,1.1,2.0,4.4,1.5,0.1,2.4,2.3,17.6
Robert Smith,TOT,1980,1.8,4.1,.439,0.1,0.4,.308,1.7,3.7,.453,1.2,1.4,.870,0.3,0.9,1.4,0.4,0.1,0.8,1.6,5.0
Sam Smith,CHI,1980,3.2,7.7,.422,0.3,1.2,.229,3.0,6.5,.456,1.9,2.1,.905,0.7,1.1,1.4,0.8,0.2,1.1,1.8,8.6
Willie Smith,CLE,1980,2.0,5.1,.384,0.3,1.1,.239,1.7,3.9,.426,0.6,0.8,.769,0.9,1.0,4.2,1.2,0.0,1.5,1.8,4.8
Ricky Sobers,CHI,1980,5.7,12.2,.469,0.3,0.8,.309,5.5,11.4,.481,2.4,2.9,.837,0.9,2.0,5.2,1.7,0.2,3.4,3.6,14.2
Jim Spanarkel,PHI,1980,1.8,3.8,.471,0.0,0.1,.000,1.8,3.8,.477,1.4,1.6,.831,0.7,0.7,1.3,0.3,0.2,1.4,1.5,5.0
Larry Steele,POR,1980,3.9,9.1,.425,0.0,0.3,.000,3.9,8.9,.437,1.4,1.7,.815,0.8,2.0,4.2,1.6,0.1,2.1,3.3,9.1
Earl Tatum,CLE,1980,1.1,2.8,.383,0.1,0.2,.333,1.0,2.7,.386,0.3,0.6,.579,0.3,0.5,0.6,0.5,0.2,0.5,0.9,2.6
Brian Taylor,SDC,1980,5.4,11.5,.467,1.2,3.1,.377,4.2,8.4,.500,1.7,2.1,.802,1.0,1.4,4.3,1.9,0.3,1.8,3.2,13.5
Reggie Theus,CHI,1980,6.9,14.3,.483,0.3,1.3,.267,6.6,13.0,.504,6.1,7.3,.838,1.7,2.3,6.3,1.4,0.2,4.2,3.2,20.2
David Thompson*,DEN,1980,7.4,15.8,.468,0.2,0.5,.368,7.2,15.3,.472,6.5,8.6,.758,1.4,3.0,3.2,1.0,1.0,3.0,2.7,21.5
Rudy Tomjanovich*,HOU,1980,6.0,12.5,.476,0.4,1.3,.278,5.6,11.3,.498,1.9,2.4,.803,2.1,3.6,1.8,0.5,0.2,1.6,2.6,14.2
Bernard Toone,PHI,1980,1.0,2.8,.359,0.0,0.3,.143,1.0,2.5,.386,0.3,0.4,.800,0.5,1.0,0.5,0.2,0.2,0.7,0.9,2.4
Raymond Townsend,GSW,1980,2.3,5.6,.406,0.1,0.3,.154,2.2,5.3,.423,0.8,1.1,.714,0.4,0.7,1.5,0.8,0.1,0.9,1.5,5.4
Dave Twardzik,POR,1980,2.7,5.9,.464,0.1,0.1,.571,2.7,5.8,.463,2.9,3.8,.782,0.8,1.6,4.1,1.1,0.0,2.0,2.2,8.5
Terry Tyler,DET,1980,5.2,11.3,.465,0.0,0.1,.167,5.2,11.1,.469,1.7,2.3,.765,2.8,4.9,1.6,1.3,2.7,2.1,2.9,12.3
